House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_DNR_kW,Kitchen_kW
House33,2018-06-03 19:00:00,1.8978116666666665,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.12321000000000006,0.0023216666666666663,0.26689
House33,2018-06-03 20:00:00,2.282646666666667,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.7719533333333334,0.002111666666666666,0.1824233333333334
House33,2018-06-03 21:00:00,2.1355866666666667,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.33875000000000016,0.03520166666666668,0.16706333333333329
House33,2018-06-03 22:00:00,0.9569850000000004,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.04310166666666669,0.013118333333333327,0.15799833333333332
House33,2018-06-03 23:00:00,1.012978333333333,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.04651166666666672,0.015091666666666672,0.14966500000000002
House33,2018-06-04 00:00:00,1.0189616666666672,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.045801666666666664,0.01617500000000001,0.12529333333333326
House33,2018-06-04 01:00:00,0.976145,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.04681666666666665,0.012326666666666665,0.02709833333333333
House33,2018-06-04 02:00:00,2.0498800000000004,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.1225716666666666,0.01080333333333333,0.190325
House33,2018-06-04 03:00:00,1.4968183333333331,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.08152499999999993,0.012930000000000004,0.15448666666666666
House33,2018-06-04 04:00:00,0.9000333333333331,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.0416733333333333,0.013541666666666664,0.15315166666666669
House33,2018-06-04 05:00:00,0.9254649999999998,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.04311166666666666,0.013499999999999993,0.1507433333333333
House33,2018-06-04 06:00:00,1.2708466666666671,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.0588883333333333,0.02144666666666666,0.14851333333333336
House33,2018-06-04 07:00:00,1.5594,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.06402333333333332,0.03020166666666666,0.03188999999999999
House33,2018-06-04 08:00:00,1.4274666666666662,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.05192833333333335,0.02272833333333333,0.12580500000000006
House33,2018-06-04 09:00:00,1.1050516666666668,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.04955500000000003,0.01041333333333333,0.13844333333333333
House33,2018-06-04 10:00:00,1.1018750000000002,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.04949333333333335,0.010566666666666669,0.10899500000000002
House33,2018-06-04 11:00:00,1.6761116666666664,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.07497666666666664,0.026118333333333348,0.15070666666666666
House33,2018-06-04 12:00:00,1.1437349999999995,2722.51,3,2013,10.0,Yes,9,5.0,2.0,1.0,1.0,3 phase,6,4,1,1,5,1,6,2,1,100,10,0,0,1,0,1,0.04850666666666669,0.020694999999999998,0.08003166666666668
