House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,W_AC_kW,UPS_kW
House20,2018-06-03 01:00:00,4.015443333333334,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.9870333333333337,1.289206666666667,0.7391966666666666
House20,2018-06-03 02:00:00,3.1497683333333337,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.7435950000000002,0.4732366666666658,0.9346449999999996
House20,2018-06-03 03:00:00,2.7787683333333337,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.900295,0.001998333333333334,0.8721700000000001
House20,2018-06-03 04:00:00,3.0644083333333336,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.9242333333333337,0.5360033333333334,0.6110733333333336
House20,2018-06-03 05:00:00,3.6959150000000007,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.9386283333333327,1.1660533333333336,0.5943850000000003
House20,2018-06-03 06:00:00,3.7742616666666655,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.9536533333333328,1.15283,0.6704633333333333
House20,2018-06-03 07:00:00,2.525163333333333,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.7270066666666668,1.15065,0.6407516666666667
House20,2018-06-03 08:00:00,1.7996533333333329,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0004483333333333335,1.1658499999999998,0.6211266666666667
House20,2018-06-03 09:00:00,1.8666333333333327,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0006800000000000003,1.190683333333333,0.6410466666666669
House20,2018-06-03 10:00:00,1.5849533333333328,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0007833333333333333,1.009585,0.5332483333333333
