House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,Laundary_kW,AC_LR_kW,AC_MBR_kW,Kitchen_kW
House29,2018-06-02 20:00:00,2.451855,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00018333333333333328,0.0020850000000000005,1.0336566666666671,0.12825833333333336
House29,2018-06-02 21:00:00,2.2154849999999997,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00016499999999999994,0.0020033333333333327,0.9413483333333332,0.10277833333333336
House29,2018-06-02 22:00:00,2.2337233333333346,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00012166666666666668,0.00178,0.9045583333333344,0.1602416666666667
House29,2018-06-02 23:00:00,3.696133333333334,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00010833333333333336,0.0027516666666666666,1.5969716666666671,0.17375666666666667
House29,2018-06-03 00:00:00,1.7590916666666672,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,5.333333333333329e-05,0.0018383333333333344,0.650398333333333,0.14915333333333333
House29,2018-06-03 01:00:00,2.8914433333333336,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00013833333333333324,0.00227,1.246045,0.1309983333333333
House29,2018-06-03 02:00:00,3.1959799999999987,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00016166666666666668,0.0024216666666666683,1.3972166666666666,0.13358499999999998
House29,2018-06-03 03:00:00,2.769111666666668,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.0001383333333333333,0.0021783333333333333,1.1304733333333332,0.18084
House29,2018-06-03 04:00:00,1.1153900000000003,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,6.83333333333333e-05,0.0013850000000000008,0.34969333333333275,0.12779499999999994
House29,2018-06-03 05:00:00,0.32657,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,3.000000000000001e-05,0.001088333333333333,0.0022616666666666675,0.08662499999999998
House29,2018-06-03 06:00:00,2.3947950000000002,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.0001483333333333333,0.0019349999999999988,1.0665433333333334,0.09462833333333333
House29,2018-06-03 07:00:00,1.8994466666666672,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00012666666666666664,0.0016333333333333328,0.8204233333333338,0.11551333333333333
House29,2018-06-03 08:00:00,0.1762366666666667,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,2.333333333333334e-05,0.0008083333333333341,0.0019766666666666674,0.07023333333333331
House29,2018-06-03 09:00:00,1.9365450000000002,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00013166666666666662,0.0016416666666666665,0.8424166666666664,0.11229333333333336
House29,2018-06-03 10:00:00,3.6159483333333338,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00025499999999999996,0.002398333333333334,1.7211033333333323,0.07609333333333339
House29,2018-06-03 11:00:00,3.762576666666667,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00024333333333333336,0.002451666666666667,1.7608849999999998,0.10864666666666667
House29,2018-06-03 12:00:00,0.6476833333333333,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,9.16666666666667e-05,0.0008983333333333332,0.023580000000000028,0.14609166666666662
House29,2018-06-03 13:00:00,2.708935,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00017833333333333332,0.001923333333333333,1.1378816666666671,0.197475
House29,2018-06-03 14:00:00,4.054446666666666,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.0002950000000000001,0.002551666666666668,1.8977583333333328,0.1183116666666666
House29,2018-06-03 15:00:00,7.056564999999999,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.0002216666666666668,0.0030333333333333345,1.9920266666666668,0.12423666666666665
House29,2018-06-03 16:00:00,1.0551533333333327,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00016499999999999992,0.0010116666666666674,0.026648333333333364,0.10700166666666663
House29,2018-06-03 17:00:00,0.3144083333333333,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,2.1666666666666674e-05,0.0008300000000000004,0.001656666666666666,0.13931000000000002
House29,2018-06-03 18:00:00,0.2453083333333333,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,2.1666666666666674e-05,0.0008100000000000006,0.0018366666666666668,0.09469833333333327
House29,2018-06-03 19:00:00,0.25836000000000003,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,1.5000000000000005e-05,0.0008333333333333336,0.0018899999999999995,0.09971833333333333
House29,2018-06-03 20:00:00,0.2473583333333333,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,1.3333333333333335e-05,0.0007816666666666666,0.0018383333333333329,0.09464833333333336
House29,2018-06-03 21:00:00,0.20065166666666664,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,1.1666666666666668e-05,0.0008000000000000005,0.001964999999999999,0.07052666666666668
House29,2018-06-03 22:00:00,0.2776066666666666,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,1.3333333333333335e-05,0.0008733333333333334,0.0020566666666666663,0.10770333333333328
House29,2018-06-03 23:00:00,3.1817083333333325,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00016166666666666668,0.002243333333333334,1.3952350000000004,0.16334666666666667
House29,2018-06-04 00:00:00,3.647598333333333,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00020333333333333344,0.002443333333333333,1.655145,0.1337483333333333
House29,2018-06-04 01:00:00,3.630995,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00018166666666666667,0.0026566666666666674,1.5869050000000005,0.15893333333333334
House29,2018-06-04 02:00:00,3.494963333333333,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.0001766666666666667,0.002551666666666668,1.5473483333333324,0.13101833333333332
House29,2018-06-04 03:00:00,1.7520200000000004,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,9.666666666666676e-05,0.001746666666666668,0.5885766666666672,0.2148
House29,2018-06-04 04:00:00,0.4005183333333335,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,4.499999999999999e-05,0.0010716666666666665,0.0021416666666666667,0.11273499999999995
House29,2018-06-04 05:00:00,3.047305,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.0001683333333333333,0.0022416666666666657,1.3719583333333334,0.07433833333333334
House29,2018-06-04 06:00:00,3.3563950000000013,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00018333333333333325,0.002376666666666667,1.551905,0.11375833333333332
House29,2018-06-04 07:00:00,2.2787900000000003,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00014499999999999987,0.0017850000000000008,1.062858333333334,0.06348833333333334
House29,2018-06-04 08:00:00,0.21084499999999998,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,1.833333333333334e-05,0.0007900000000000001,0.001855,0.08758333333333336
House29,2018-06-04 09:00:00,0.2774783333333334,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,2.1666666666666674e-05,0.0008233333333333333,0.001955,0.11509833333333334
House29,2018-06-04 10:00:00,0.2274666666666667,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,1.3333333333333333e-05,0.00021666666666666668,0.07430166666666663,0.03455833333333325
House29,2018-06-04 11:00:00,1.1679083333333329,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.012521666666666664,0.0011,0.3983116666666667,0.13626333333333335
House29,2018-06-04 12:00:00,4.129393333333335,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00902833333333331,0.0026300000000000013,1.9057816666666656,0.12129166666666664
House29,2018-06-04 13:00:00,3.3582949999999996,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.022438333333333317,0.0019033333333333328,0.7077699999999997,0.2506416666666668
House29,2018-06-04 14:00:00,2.2915466666666666,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.0001,0.0016133333333333347,0.6679833333333339,0.2281283333333333
House29,2018-06-04 15:00:00,0.05473666666666666,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.0,0.00013333333333333334,0.00025166666666666664,0.024321666666666585
House29,2018-06-04 16:00:00,3.0732733333333337,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.0002116666666666666,0.001955,1.384126666666667,0.140445
House29,2018-06-04 17:00:00,1.8258450000000002,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00015166666666666654,0.0014999999999999994,0.6699966666666675,0.20139333333333329
House29,2018-06-04 18:00:00,0.6201166666666665,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,3.000000000000001e-05,0.001088333333333333,0.10435666666666653,0.1779950000000001
House29,2018-06-04 19:00:00,0.236975,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,5e-06,0.000893333333333333,0.001891666666666666,0.08785166666666669
House29,2018-06-04 20:00:00,1.2593466666666668,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.0002583333333333333,0.0009149999999999996,0.001963333333333334,0.10749499999999994
House29,2018-06-04 21:00:00,0.5071033333333335,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,2.666666666666668e-05,0.0009816666666666667,0.09405166666666667,0.1169166666666667
House29,2018-06-04 22:00:00,3.356791666666667,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00022333333333333336,0.0023066666666666674,1.51623,0.1386666666666667
House29,2018-06-04 23:00:00,3.341565000000001,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.00019333333333333336,0.002301666666666668,1.445768333333333,0.20067999999999994
House29,2018-06-05 00:00:00,3.7194516666666666,5445.01,2,2004,14.0,No,10,5.0,2.0,1.0,2.0,3 phase,8,4,2,2,8,0,9,2,2,9,12,1,4,2,75,1,0.0002200000000000001,0.00253,1.6705366666666668,0.13534666666666667
