House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,UPS_kW,Non_UPS_kW
House11,2018-06-03 04:00:00,1.5179750000000003,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.2138583333333337,0.1165116666666667,0.18454166666666652
House11,2018-06-03 05:00:00,1.635773333333333,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.2266550000000005,0.1950983333333333,0.21026000000000009
House11,2018-06-03 06:00:00,1.5464866666666666,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.2270133333333335,0.17028,0.14589666666666667
House11,2018-06-03 07:00:00,1.4921983333333333,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,1.2531166666666664,0.11023333333333334,0.12595166666666666
House11,2018-06-03 08:00:00,1.3108050000000009,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.9519216666666668,0.13350166666666666,0.22203999999999988
House11,2018-06-03 09:00:00,0.5550433333333336,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.1337833333333334,0.185605,0.232685
House11,2018-06-03 10:00:00,0.6672299999999997,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.006219999999999996,0.2588,0.40005333333333337
House11,2018-06-03 11:00:00,0.7198666666666665,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.006271666666666666,0.2808333333333334,0.4313033333333333
House11,2018-06-03 12:00:00,0.7241683333333332,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.00626666666666667,0.2748799999999999,0.4413666666666665
House11,2018-06-03 13:00:00,0.544535,1089.0,2,2008,10.0,No,3,1.0,1.0,0.0,1.0,1 phase,6,3,2,1,6,0,1,1,2,6,4,1,0,1,8,0,0.006186666666666664,0.183445,0.35277166666666665
