House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,Laundary_kW,Kitchen_kW,AC_BR_kW,AC_GR_kW,AC_SR_kW,Refrigerator_kW,Kitchen2_kW,AC_BR_kW.1,AC_MBR_kW
House16,2018-06-02 09:00:00,0.8144933333333333,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.3680716666666667,0.04312333333333336,0.006183333333333332,0.3315933333333333,0.00042333333333333296,0.039771666666666664,0.0005483333333333334,0.001335,0.005251666666666668
House16,2018-06-02 10:00:00,1.80617,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,1.3015866666666664,0.01613833333333333,0.0075366666666666655,0.3690699999999998,0.0005533333333333337,0.04476666666666669,0.0005050000000000002,0.0013349999999999998,0.0051550000000000025
House16,2018-06-02 11:00:00,2.91785,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,2.42786,0.005401666666666666,0.00925666666666666,0.4400233333333333,0.0004700000000000003,0.02615,0.0004116666666666669,0.0014416666666666662,0.005085000000000003
House16,2018-06-02 12:00:00,4.641453333333331,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,2.6573450000000003,0.040698333333333336,0.009196666666666664,0.2952533333333332,0.0004116666666666669,0.05026666666666665,1.5126333333333333,0.0027066666666666675,0.005293333333333331
House16,2018-06-02 13:00:00,1.309408333333333,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.7919066666666666,0.03401166666666666,0.006389999999999997,0.2986583333333333,0.00034500000000000015,0.044409999999999984,0.1273716666666668,0.0012983333333333345,0.0050166666666666675
House16,2018-06-02 14:00:00,0.6970833333333335,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.1951266666666667,0.008834999999999999,0.004653333333333333,0.2454633333333333,0.00032833333333333347,0.04484166666666667,0.00041500000000000017,0.00095,0.0040750000000000005
House16,2018-06-02 15:00:00,0.9292633333333332,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.20201166666666664,0.0006950000000000001,0.0059883333333333325,0.410405,0.0003883333333333334,0.048973333333333334,0.0005266666666666668,0.001271666666666668,0.0053099999999999935
House16,2018-06-02 16:00:00,0.9842650000000002,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.17961499999999994,0.01075666666666667,0.005679999999999999,0.34517000000000003,0.0002600000000000001,0.05225000000000002,0.0005383333333333336,0.001129999999999999,0.005123333333333331
House16,2018-06-02 17:00:00,1.0757900000000002,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.4703533333333334,0.07651833333333337,0.006198333333333329,0.32054666666666665,0.0003316666666666667,0.047483333333333336,0.0005300000000000003,0.0012233333333333337,0.00508
House16,2018-06-02 18:00:00,3.449761666666667,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.80929,0.10084166666666664,0.005973333333333332,0.28524499999999997,0.0004900000000000005,0.10856833333333334,0.0005000000000000001,0.0011550000000000006,0.0050666666666666655
House16,2018-06-02 19:00:00,7.341633333333336,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.5433550000000001,0.09001833333333338,0.004796666666666668,0.24738999999999994,0.0004400000000000005,0.06905666666666667,0.2539883333333333,0.0011066666666666666,0.005146666666666666
House16,2018-06-02 20:00:00,4.347716666666666,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.4525066666666666,0.10431000000000004,0.005823333333333338,0.2642233333333333,0.0003666666666666668,0.07192833333333334,1.2482816666666687,0.0023983333333333326,0.0054033333333333294
House16,2018-06-02 21:00:00,3.3724566666666664,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.345605,0.07893666666666667,0.8752433333333333,0.26491166666666666,0.0005216666666666666,0.060959999999999986,0.000596666666666667,0.0011199999999999993,0.0051299999999999965
House16,2018-06-02 22:00:00,4.139713333333333,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.2646633333333333,0.008875000000000006,1.6272016666666669,0.26132999999999995,0.0007450000000000009,0.09272333333333332,0.000621666666666667,0.0010433333333333332,0.005200000000000004
House16,2018-06-02 23:00:00,3.597345,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.2719283333333333,0.003328333333333333,1.108476666666667,0.2535266666666667,0.0004433333333333335,0.09687,0.0005983333333333334,0.001114999999999999,0.005266666666666666
House16,2018-06-03 00:00:00,2.663498333333333,32670.1,1,2009,11.0,Yes,8,4.0,1.0,1.0,2.0,3 phase,6,3,1,2,6,0,11,2,1,7,20,1,0,2,120,0,0.22723333333333345,0.002321666666666667,0.6796783333333333,0.11105333333333336,0.0005633333333333332,0.08369166666666666,0.0005916666666666669,0.001096666666666666,0.005295
