House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_DR_kW,UPS_kW,LR_kW,Kitchen_kW,AC_DNR_kW,AC_BR_kW
House1,2018-07-16 23:00:00,1.9741133333333327,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,9.000000000000005e-05,0.23303166666666664,0.19927166666666668,0.18886499999999995,0.4933083333333335,0.0004400000000000001
House1,2018-07-17 00:00:00,1.979401666666668,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00032166666666666644,0.1972883333333333,0.01261166666666666,0.10574000000000001,0.0026266666666666678,0.9858416666666666
House1,2018-07-17 01:00:00,1.2725816666666665,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00018833333333333327,0.224435,0.011223333333333323,0.10096666666666668,0.002543333333333335,0.29975333333333337
House1,2018-07-17 02:00:00,1.2048600000000005,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00011666666666666675,0.2137066666666666,0.01120999999999999,0.108225,0.0027266666666666693,0.2945333333333333
House1,2018-07-17 03:00:00,1.173958333333333,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,9.000000000000002e-05,0.215775,0.011206666666666658,0.11524666666666665,0.0029066666666666685,0.2509583333333333
House1,2018-07-17 04:00:00,1.1653716666666667,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00010166666666666672,0.2151316666666666,0.011216666666666658,0.11541833333333328,0.00292166666666667,0.2439500000000001
House1,2018-07-17 05:00:00,1.196555,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00010166666666666672,0.21569000000000008,0.011201666666666658,0.10942499999999998,0.002688333333333334,0.2788716666666666
House1,2018-07-17 06:00:00,1.2011066666666668,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00013499999999999995,0.20074500000000006,0.026763333333333326,0.09492833333333334,0.00379,0.264975
House1,2018-07-17 07:00:00,1.1020749999999997,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00010166666666666659,0.2,0.08794,0.2061550000000001,0.007626666666666665,0.10725666666666686
House1,2018-07-17 08:00:00,0.9210483333333332,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00010333333333333336,0.24166666666666675,0.012073333333333335,0.2629666666666666,0.012281666666666677,0.0007016666666666666
House1,2018-07-17 09:00:00,0.7399166666666667,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,2.666666666666668e-05,0.21370833333333333,0.012158333333333328,0.2305016666666667,0.011698333333333331,0.0006299999999999997
House1,2018-07-17 10:00:00,0.8973966666666667,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00018666666666666674,0.17032333333333335,0.020784999999999998,0.21745,0.01241166666666666,0.0005116666666666669
House1,2018-07-17 11:00:00,0.8685583333333333,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00010666666666666668,0.19258,0.11963833333333332,0.118355,0.00575,0.0005000000000000004
House1,2018-07-17 12:00:00,0.9790516666666664,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,9.5e-05,0.21159499999999995,0.2816250000000001,0.1421283333333333,0.005561666666666669,0.0002516666666666667
House1,2018-07-17 13:00:00,1.1846416666666666,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00015833333333333346,0.21228666666666665,0.2898216666666667,0.19153666666666666,0.18253166666666665,0.00021333333333333344
House1,2018-07-17 14:00:00,2.7084916666666667,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00037166666666666695,0.20872666666666675,0.18184000000000008,0.2152349999999999,1.5395549999999998,1.3333333333333335e-05
House1,2018-07-17 15:00:00,2.766971666666667,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.0003766666666666668,0.2125466666666667,0.18213333333333329,0.22079,1.5203950000000002,4e-05
House1,2018-07-17 16:00:00,2.532305,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00032333333333333357,0.21592666666666666,0.1757366666666667,0.16711666666666666,1.3738833333333331,9.83333333333334e-05
House1,2018-07-17 17:00:00,0.9567666666666664,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00013833333333333327,0.2120716666666666,0.17365833333333333,0.2302283333333333,0.009288333333333336,0.0003116666666666665
House1,2018-07-17 18:00:00,1.2097066666666665,4628.26,2,2014,9.5,Yes,7,3.0,2.0,1.0,1.0,3 phase,5,5,0,0,3,2,3,1,1,6,8,2,3,2,105,1,0.00014499999999999992,0.24336999999999995,0.3395183333333335,0.24966333333333324,0.008961666666666666,0.00041166666666666695
