House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_LR_kW,Kitchen_kW,AC_BR_kW.1,BR_kW
House24,2018-10-08 23:00:00,0.6176499999999999,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.2993033333333333,0.15154500000000004,0.007881666666666669,0.0015799999999999994,0.029075000000000007
House24,2018-10-09 00:00:00,0.4634900000000002,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.193275,0.09832666666666663,0.01562666666666666,0.0009566666666666666,0.02115499999999996
House24,2018-10-09 01:00:00,0.11902833333333322,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.0028183333333333363,0.0017816666666666636,0.006693333333333332,7.166666666666667e-05,0.002778333333333332
House24,2018-10-09 02:00:00,0.8230083333333337,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.21693,0.110325,0.021383333333333324,0.0008833333333333332,0.017480000000000002
House24,2018-10-09 03:00:00,0.8906400000000001,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.294335,0.1495,0.023888333333333348,0.001321666666666666,0.028361666666666643
House24,2018-10-09 04:00:00,0.4934733333333334,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.17370000000000002,0.08935833333333333,0.024376666666666658,0.0009849999999999995,0.028656666666666643
House24,2018-10-09 05:00:00,0.3693266666666665,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.17036166666666672,0.08769,0.009208333333333334,0.0006983333333333338,0.028120000000000017
House24,2018-10-09 06:00:00,0.2790016666666668,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.002461666666666667,0.0034616666666666663,0.040150000000000005,0.00017833333333333348,0.022274999999999986
House24,2018-10-09 07:00:00,0.10197333333333328,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,6.333333333333329e-05,0.002628333333333331,0.02892166666666667,1.6666666666666667e-05,0.005546666666666673
House24,2018-10-09 08:00:00,0.11638833333333333,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.0002833333333333334,0.0024499999999999986,0.024854999999999995,0.00010499999999999991,0.001995
