House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,WP_kW,Kitchen_kW,AC_BR_kW
House21,2018-06-03 08:00:00,1.512788333333334,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.003058333333333332,0.17259666666666662,0.0011749999999999994
House21,2018-06-03 09:00:00,2.0999383333333332,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.0036816666666666673,0.2369516666666667,0.0009033333333333336
House21,2018-06-03 10:00:00,1.2383666666666668,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.09275833333333333,0.24523000000000006,0.0009550000000000002
House21,2018-06-03 11:00:00,1.1454766666666665,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.008566666666666658,0.23600500000000005,0.0014400000000000005
House21,2018-06-03 12:00:00,0.6415183333333334,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,7.333333333333336e-05,0.26034333333333337,0.001371666666666667
House21,2018-06-03 13:00:00,1.1135749999999998,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.00014666666666666666,0.20081166666666664,0.0011016666666666664
House21,2018-06-03 14:00:00,1.1291750000000005,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.00030000000000000003,0.2314866666666667,0.0004400000000000003
House21,2018-06-03 15:00:00,0.7282300000000002,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.00019,0.15377500000000002,0.0003350000000000001
House21,2018-06-03 16:00:00,1.0910016666666669,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.07161166666666666,0.2302783333333334,0.0004466666666666665
House21,2018-06-03 17:00:00,1.1447916666666669,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.036361666666666737,0.2486566666666666,0.0004550000000000005
House21,2018-06-03 18:00:00,0.9744750000000002,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,6.833333333333328e-05,0.2546683333333334,0.0007149999999999997
House21,2018-06-03 19:00:00,0.9206816666666668,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.015563333333333318,0.2814833333333333,0.0007033333333333334
House21,2018-06-03 20:00:00,0.8658183333333331,1361.25,2,2015,12.0,No,7,3.0,1.0,1.0,2.0,1 phase,10,6,2,2,10,0,2,2,1,13,9,1,0,2,82,1,0.01962333333333334,0.235525,0.0010433333333333338
