House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_BR_kW.1
House25,2018-06-03 06:00:00,1.5052999999999992,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.08021833333333359,1.0988383333333331
House25,2018-06-03 07:00:00,1.1532149999999994,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.3804533333333331,0.43960666666666665
House25,2018-06-03 08:00:00,1.2190916666666665,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.0006749999999999996,0.8399366666666667
House25,2018-06-03 09:00:00,1.6923849999999996,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.16086,1.153135
House25,2018-06-03 10:00:00,1.2734783333333333,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.8326433333333333,0.08294333333333333
House25,2018-06-03 11:00:00,0.8975983333333332,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.3918383333333333,0.1169583333333333
House25,2018-06-03 12:00:00,1.0669533333333334,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.5262133333333325,0.0013766666666666669
House25,2018-06-03 13:00:00,0.08046166666666693,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,9.333333333333333e-05,0.00017499999999999994
House25,2018-06-03 14:00:00,1.793043333333333,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.9015766666666666,0.41102666666666665
House25,2018-06-03 15:00:00,1.354411666666665,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.1091883333333334,0.8207916666666667
House25,2018-06-03 16:00:00,2.009415,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.5549533333333332,0.992425
House25,2018-06-03 17:00:00,0.5970333333333332,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.0006866666666666663,0.1905149999999997
House25,2018-06-03 18:00:00,1.750608333333333,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,1.3244783333333336,0.002508333333333333
House25,2018-06-03 19:00:00,1.4314483333333337,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.8142683333333333,0.18065499999999998
House25,2018-06-03 20:00:00,0.1731066666666662,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,6e-05,0.12830166666666654
House25,2018-06-03 21:00:00,2.796658333333332,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.8920216666666668,1.098145
House25,2018-06-03 22:00:00,2.2704833333333325,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.7480433333333334,1.0752233333333334
House25,2018-06-03 23:00:00,2.363574999999999,2248.7889999999998,2,2011,11.0,No,6,3.0,1.0,1.0,1.0,3 phase,6,3,2,1,6,0,3,3,0,4,6,0,0,1,43,1,0.7323799999999999,1.1809433333333332
