House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,Kitchen_kW,AC_BR_kW,Refrigerator_kW
House42,2018-06-02 22:00:00,0.3082199999999998,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.012561666666666641,1.1666666666666668e-05,0.08818000000000001
House42,2018-06-02 23:00:00,0.3967233333333332,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.008256666666666666,3.166666666666668e-05,0.060621666666666636
House42,2018-06-03 00:00:00,0.5039216666666667,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0373,3.333333333333333e-05,0.09246833333333336
House42,2018-06-03 01:00:00,0.397915,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0005450000000000001,2.5000000000000008e-05,0.06562999999999998
House42,2018-06-03 02:00:00,0.6315866666666666,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.10241999999999997,4.833333333333331e-05,0.09432333333333334
House42,2018-06-03 03:00:00,0.7098066666666667,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0007566666666666673,9.500000000000003e-05,0.08763833333333335
House42,2018-06-03 04:00:00,0.4428633333333333,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0029566666666666712,5.333333333333329e-05,0.06549999999999999
House42,2018-06-03 05:00:00,0.35469833333333345,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0003600000000000003,1.833333333333334e-05,0.08494333333333333
House42,2018-06-03 06:00:00,0.31610333333333346,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0002650000000000001,1.833333333333334e-05,0.04775166666666664
House42,2018-06-03 07:00:00,0.34355499999999994,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0003166666666666666,3.333333333333333e-05,0.08223833333333339
House42,2018-06-03 08:00:00,0.3060033333333333,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0002483333333333333,2.5000000000000008e-05,0.044316666666666664
House42,2018-06-03 09:00:00,0.3394066666666666,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0003250000000000001,3.6666666666666666e-05,0.07954166666666668
House42,2018-06-03 10:00:00,0.2890050000000001,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.00023499999999999986,2.666666666666668e-05,0.02551666666666667
House42,2018-06-03 11:00:00,0.34654333333333337,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0003183333333333335,3.000000000000001e-05,0.07270499999999999
House42,2018-06-03 12:00:00,0.4735283333333332,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.11097499999999998,1.833333333333334e-05,0.07121833333333334
House42,2018-06-03 13:00:00,0.0890083333333336,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.01903833333333337,0.034464999999999954,0.00018833333333333327
House42,2018-06-03 14:00:00,0.8781700000000001,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.007101666666666664,0.5290499999999999,0.08361500000000001
House42,2018-06-03 15:00:00,0.18217333333333305,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0004500000000000001,0.00016,0.01836166666666664
House42,2018-06-03 16:00:00,0.7094733333333335,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.10739333333333337,0.0004450000000000004,0.09592166666666667
House42,2018-06-03 17:00:00,0.42367999999999983,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.006355000000000007,0.00028000000000000003,0.09405
House42,2018-06-03 18:00:00,0.19671500000000008,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0015116666666666668,0.0002150000000000001,0.05129500000000002
House42,2018-06-03 19:00:00,0.2360400000000001,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.001605,0.00026333333333333336,0.09145999999999996
House42,2018-06-03 20:00:00,0.2247250000000001,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.001560000000000001,0.00020166666666666675,0.05801500000000001
House42,2018-06-03 21:00:00,0.004510000000000003,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0,0.0,0.0016000000000000007
House42,2018-06-03 22:00:00,0.4036883333333332,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0009216666666666668,0.0005016666666666674,0.09334333333333336
House42,2018-06-03 23:00:00,0.38817666666666656,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.001173333333333333,0.0004266666666666672,0.0897566666666667
House42,2018-06-04 00:00:00,0.4571699999999999,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0013083333333333328,0.0003283333333333334,0.09539
House42,2018-06-04 01:00:00,0.5018,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0013399999999999994,0.00031333333333333365,0.06440000000000001
House42,2018-06-04 02:00:00,0.01019999999999999,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0,0.0,0.0017999999999999989
House42,2018-06-04 03:00:00,0.6108083333333335,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0006933333333333343,0.0005666666666666668,0.07447833333333327
House42,2018-06-04 04:00:00,0.6286616666666666,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.00028166666666666666,0.0005883333333333334,0.09662
House42,2018-06-04 05:00:00,0.5556616666666668,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0003700000000000003,0.0004116666666666669,0.106055
House42,2018-06-04 06:00:00,0.3902183333333333,5445.01,2,2002,11.0,Yes,5,2.0,1.0,1.0,1.0,1 phase,6,3,3,0,6,0,2,1,1,10,10,1,0,1,25,1,0.0002766666666666665,0.0003700000000000003,0.06575166666666671
