House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,AC_kW.1,Kitchen_kW
House3,2018-06-02 23:00:00,6.020688333333332,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.9626766666666668,0.06121,0.4690833333333334
House3,2018-06-03 00:00:00,5.780816666666667,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.909365,0.06265666666666665,0.44339666666666666
House3,2018-06-03 01:00:00,5.461796666666667,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.8770433333333335,0.07780999999999998,0.4591983333333333
House3,2018-06-03 02:00:00,5.740901666666668,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.8257383333333335,0.08052333333333332,0.7306533333333337
House3,2018-06-03 03:00:00,5.530791666666664,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.8079516666666666,0.08194333333333333,0.41068833333333343
House3,2018-06-03 04:00:00,5.219336666666666,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.7888433333333331,0.08224833333333333,0.4209116666666664
House3,2018-06-03 05:00:00,5.406980000000001,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.7441116666666664,0.3453866666666667,0.42084166666666667
House3,2018-06-03 06:00:00,5.3944100000000015,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.8045166666666668,0.38224833333333336,0.4110250000000001
House3,2018-06-03 07:00:00,5.342460000000002,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.7764283333333334,0.3713416666666667,0.3975016666666665
House3,2018-06-03 08:00:00,5.430445000000002,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,0.8702133333333334,0.3743283333333333,0.3977333333333334
