House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,WP_kW,Kitchen_kW,AC_kW,AC_kW.1
House37,2018-06-03 08:00:00,1.2231933333333334,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0019750000000000006,0.8991049999999999,0.21569000000000002,0.08859499999999995
House37,2018-06-03 09:00:00,1.3484349999999998,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.001875,1.0556066666666668,0.19127833333333324,0.07007500000000001
House37,2018-06-03 10:00:00,1.6406366666666667,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002136666666666668,1.268621666666666,0.16857166666666665,0.18216666666666664
House37,2018-06-03 11:00:00,2.1992100000000003,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0029066666666666685,1.2609083333333335,0.20621666666666671,0.18467666666666674
House37,2018-06-03 12:00:00,2.320193333333333,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,1.2528399999999995,0.4373883333333329,0.17443166666666665,0.200515
House37,2018-06-03 13:00:00,2.411758333333334,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,1.769235000000001,0.001731666666666666,0.1874083333333334,0.1686766666666666
House37,2018-06-03 14:00:00,2.505808333333334,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,1.7869833333333331,0.001688333333333332,0.1898900000000001,0.16164333333333333
House37,2018-06-03 15:00:00,1.8362599999999998,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,1.0390466666666671,0.0017966666666666671,0.2300300000000001,0.2150316666666667
House37,2018-06-03 16:00:00,0.8850299999999999,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.0026633333333333327,0.002066666666666667,0.20503,0.21743
House37,2018-06-03 17:00:00,1.1616800000000005,5445.01,1,2004,10.0,No,5,3.0,1.0,0.0,1.0,3 phase,5,2,3,0,5,0,4,2,1,7,6,0,1,1,31,1,0.002713333333333333,0.002138333333333332,0.2322716666666667,0.12061333333333332
