House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_BR_kW,UPS_kW
House13,2018-06-02 19:00:00,2.5822899999999995,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.4761000000000002,0.81589,0.09335
House13,2018-06-02 20:00:00,2.7640766666666665,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.4932083333333333,0.7793400000000001,0.2589316666666667
House13,2018-06-02 21:00:00,1.7276599999999998,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.3388266666666668,0.3621633333333333,0.2539483333333334
House13,2018-06-02 22:00:00,1.328546666666667,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003816666666666666,0.4074333333333335,0.29136500000000004
House13,2018-06-02 23:00:00,1.0294066666666666,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0004033333333333335,0.34495,0.12655333333333335
House13,2018-06-03 00:00:00,1.0472733333333335,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00032333333333333324,0.3200683333333334,0.2765916666666667
House13,2018-06-03 01:00:00,1.272181666666666,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0004983333333333334,0.4926800000000002,0.1616433333333334
House13,2018-06-03 02:00:00,1.2165133333333331,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003783333333333332,0.4257016666666668,0.3066266666666667
House13,2018-06-03 03:00:00,1.1271666666666669,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003916666666666667,0.38596666666666657,0.18250833333333333
House13,2018-06-03 04:00:00,0.9627699999999998,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003133333333333335,0.3172316666666666,0.2488683333333333
House13,2018-06-03 05:00:00,0.7866850000000001,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00038833333333333336,0.31902666666666685,0.13131166666666666
House13,2018-06-03 06:00:00,0.7624433333333334,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00030000000000000003,0.251015,0.22156500000000007
House13,2018-06-03 07:00:00,0.766365,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.000405,0.2995533333333334,0.11704000000000005
House13,2018-06-03 08:00:00,1.1879033333333338,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00045999999999999996,0.4971683333333333,0.17265000000000005
House13,2018-06-03 09:00:00,1.0479066666666668,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0005033333333333333,0.4627983333333334,0.104265
House13,2018-06-03 10:00:00,0.815645,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003583333333333334,0.2638316666666667,0.19766000000000009
House13,2018-06-03 11:00:00,0.9893716666666668,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0004616666666666666,0.3187533333333334,0.15103333333333335
House13,2018-06-03 12:00:00,0.6183449999999996,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003133333333333337,0.14959666666666668,0.23029000000000002
House13,2018-06-03 13:00:00,0.3003366666666667,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0002733333333333334,0.014294999999999997,0.17455166666666666
House13,2018-06-03 14:00:00,0.4278850000000001,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00021333333333333317,0.02783666666666667,0.27903166666666673
House13,2018-06-03 15:00:00,0.32206,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0002899999999999998,0.012261666666666662,0.136245
House13,2018-06-03 16:00:00,0.5969800000000001,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.000275,0.13108,0.2759916666666666
