House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_BR_kW,AC_kW,AC_kW.1,Kitchen_kW,WP_kW
House9,2018-06-03 22:00:00,0.6854066666666668,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0006066666666666666,0.2644533333333333,0.0004266666666666668,0.0004816666666666665,0.16677666666666668,0.1781833333333333
House9,2018-06-03 23:00:00,0.7208733333333335,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00054,0.29967166666666706,0.0004316666666666676,0.0004683333333333334,0.16043333333333334,0.18331166666666665
House9,2018-06-04 00:00:00,1.3244000000000002,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0004150000000000007,0.9272883333333336,0.0007366666666666668,0.0002649999999999999,0.15973833333333334,0.16342333333333325
House9,2018-06-04 01:00:00,0.7455666666666665,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0006,0.3821583333333341,0.00045000000000000086,0.0004316666666666667,0.15800166666666668,0.12958166666666662
House9,2018-06-04 02:00:00,1.4985466666666671,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0003650000000000004,1.121085,0.0008133333333333343,0.00018499999999999973,0.16140666666666667,0.17789166666666667
House9,2018-06-04 03:00:00,0.9635100000000001,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0005199999999999995,0.6901083333333334,0.0005866666666666662,0.0003799999999999999,0.15845666666666666,0.07877500000000001
House9,2018-06-04 04:00:00,1.9574850000000008,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0002366666666666665,1.1768350000000003,0.3908816666666667,0.00041833333333333344,0.15226166666666668,0.16269999999999998
House9,2018-06-04 05:00:00,2.8069416666666664,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00010500000000000006,1.1853483333333332,1.188963333333333,0.0009733333333333336,0.15036166666666664,0.16959166666666667
House9,2018-06-04 06:00:00,2.634771666666667,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,1.6666666666666669e-06,1.1814966666666669,1.181385,0.0007950000000000004,0.14905333333333332,0.0007866666666666669
House9,2018-06-04 07:00:00,2.6046650000000002,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00011833333333333335,1.1416950000000006,1.2067500000000002,0.0007550000000000004,0.13898000000000002,0.0005833333333333338
House9,2018-06-04 08:00:00,2.7041866666666663,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00019833333333333346,1.2355366666666672,1.2307983333333334,0.0008133333333333332,0.1392233333333333,0.0006916666666666668
House9,2018-06-04 09:00:00,2.8091466666666665,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00012999999999999993,1.2784216666666668,1.2754466666666668,0.000865,0.14269000000000004,0.0006200000000000003
House9,2018-06-04 10:00:00,2.2193466666666666,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.00020666666666666668,0.6239133333333337,1.3175916666666667,0.000541666666666667,0.1479066666666666,0.00033499999999999963
House9,2018-06-04 11:00:00,1.0682166666666668,2722.51,2,2013,15.0,No,7,4.0,1.0,1.0,1.0,3 phase,3,3,0,0,3,0,5,1,1,3,9,1,0,1,30,1,0.0004966666666666664,0.12034500000000001,0.6611150000000011,0.0003633333333333335,0.14504999999999998,0.0005133333333333333
