House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,UPS_kW,WD_kW,Refrigerator_kW,AC_BR_kW.1
House38,2018-06-04 12:00:00,3.695566666666668,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,1.4556633333333333,0.0005733333333333335,0.050991666666666664,0.10622666666666666,1.6833533333333333
House38,2018-06-04 13:00:00,0.4682333333333346,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0006900000000000021,2e-05,0.0037600000000000008,0.02779333333333325,0.30467500000000025
House38,2018-06-04 14:00:00,0.9170083333333332,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.002536666666666667,0.0003566666666666665,0.06246666666666668,0.10834666666666663,0.006768333333333337
House38,2018-06-04 15:00:00,2.352973333333333,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.004331666666666665,0.00014666666666666666,0.053781666666666686,0.09783499999999998,1.29224
House38,2018-06-04 16:00:00,2.7437883333333333,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.004116666666666665,6.166666666666663e-05,0.04852833333333336,0.11639,1.7284983333333337
House38,2018-06-04 17:00:00,2.551445,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0038766666666666654,6e-05,0.03756000000000002,0.11394000000000001,1.7025850000000002
House38,2018-06-04 18:00:00,1.0813266666666663,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.004623333333333334,0.0003616666666666666,0.2561683333333333,0.12552,0.018573333333333355
House38,2018-06-04 19:00:00,0.9482183333333328,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.003286666666666666,0.0004333333333333333,0.064915,0.15971166666666664,0.00224
House38,2018-06-04 20:00:00,1.0184183333333332,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.00323,0.0002533333333333333,0.04834666666666666,0.1560666666666667,0.002075
House38,2018-06-04 21:00:00,0.9826649999999996,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0033183333333333324,0.0003416666666666666,0.057628333333333365,0.11687500000000005,0.002141666666666666
House38,2018-06-04 22:00:00,0.9764933333333334,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0031466666666666674,0.0003516666666666666,0.10996666666666673,0.13737666666666665,0.002145
House38,2018-06-04 23:00:00,1.4916283333333331,2722.51,2,2014,14.0,No,8,,,,,3 phase,4,4,0,0,4,0,3,1,1,30,10,0,2,1,22,1,0.0030449999999999987,0.0004649999999999999,0.08580333333333331,0.13984666666666665,0.4686533333333334
