House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_DR_kW,AC_BR_kW,UPS_kW,WD_kW,Refrigerator_kW
House31,2018-06-03 10:00:00,3.1973633333333336,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.001758333333333333,0.4841816666666666,0.2690233333333339,0.19438,0.105675,0.12731166666666674
House31,2018-06-03 11:00:00,3.2485516666666667,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0015416666666666658,0.3790616666666667,0.006335,0.2140416666666667,0.032399999999999984,0.119425
House31,2018-06-03 12:00:00,2.323946666666666,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0017383333333333346,0.0006483333333333332,0.6142150000000001,0.21834666666666666,0.06934333333333331,0.132355
House31,2018-06-03 13:00:00,1.5121916666666662,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0007950000000000001,0.00035333333333333343,0.8344433333333334,0.24478499999999995,0.052315000000000084,0.14440000000000006
House31,2018-06-03 14:00:00,1.3199150000000002,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0009116666666666664,0.0007166666666666666,0.7373116666666667,0.20205499999999998,0.047563333333333326,0.11930666666666664
House31,2018-06-03 15:00:00,0.4882766666666666,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0005299999999999998,0.0008800000000000002,0.00680333333333333,0.20399,0.07157333333333342,0.11356500000000001
House31,2018-06-03 16:00:00,0.348245,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0007266666666666665,0.0011416666666666665,0.006659999999999999,0.18507,0.047638333333333324,0.09701666666666668
House31,2018-06-03 17:00:00,1.5885616666666664,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0020150000000000007,0.0010550000000000002,0.5009683333333332,0.1779516666666666,0.05703000000000004,0.10781166666666664
House31,2018-06-03 18:00:00,1.9687116666666675,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0022133333333333336,0.10943166666666664,0.8586849999999999,0.19956500000000002,0.09139333333333334,0.22680833333333336
House31,2018-06-03 19:00:00,1.3773200000000003,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0012833333333333336,0.0545416666666667,0.4429166666666665,0.3283383333333333,0.15302833333333332,0.21425333333333327
House31,2018-06-03 20:00:00,0.9071316666666668,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0005033333333333336,0.051785000000000005,0.00690666666666667,0.2834983333333333,0.1498500000000001,0.2237316666666667
House31,2018-06-03 21:00:00,1.506508333333335,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0014966666666666661,0.6241966666666664,0.06470000000000001,0.27853166666666673,0.14942666666666665,0.2518999999999999
House31,2018-06-03 22:00:00,0.92313,2450.25,2,2014,12.0,No,7,4.0,1.0,1.0,1.0,3 phase,9,4,5,0,9,0,4,1,1,4,9,1,0,1,40,1,0.0005783333333333338,0.0006216666666666669,0.006894999999999999,0.3851433333333333,0.1281916666666667,0.25146
