House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_Reg_kW,AC_MB_kW,AC_BR_kW,WP_kW,AC_kW
House32,2018-06-03 21:00:00,3.0189050000000006,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.1852433333333333,0.5891333333333332,0.7346366666666668,0.04144666666666666,0.0
House32,2018-06-03 22:00:00,2.8041083333333336,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.18277833333333326,0.6855466666666667,0.7053999999999997,0.03288666666666667,0.0
House32,2018-06-03 23:00:00,2.484815,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.18589333333333333,0.6038350000000001,0.6840400000000002,0.03507,0.0
House32,2018-06-04 00:00:00,2.7603633333333333,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.18720499999999995,0.96785,0.7206249999999997,0.04117,0.0
House32,2018-06-04 01:00:00,3.500900000000001,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.19309,1.6693966666666662,0.7888850000000003,0.036941666666666664,0.0
House32,2018-06-04 02:00:00,2.850999999999998,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.0732266666666667,1.1256416666666669,0.7734233333333337,0.04206166666666666,0.0
House32,2018-06-04 03:00:00,2.2571883333333336,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.1313883333333333,0.8673033333333333,0.555225,0.02956666666666665,0.0
House32,2018-06-04 04:00:00,2.038975,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.18485666666666675,0.5669233333333334,0.6049433333333333,0.02268833333333333,0.0
House32,2018-06-04 05:00:00,1.548155,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.10467833333333328,0.5640966666666667,0.5415716666666665,0.07439333333333333,0.0
House32,2018-06-04 06:00:00,2.073665,4356.01,1,2000,12.0,No,6,2.0,1.0,2.0,1.0,3 phase,5,4,1,0,5,0,3,2,1,6,9,1,1,1,84,1,0.02637333333333334,0.5616733333333334,0.5799583333333332,0.4547516666666666,0.0
