House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_DR_kW,UPS_kW,Kitchen_kW,AC_MBR_kW
House6,2018-11-16 00:00:00,0.5419033333333334,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,7.33333333333333e-05,0.2574733333333333,3.3333333333333333e-06,0.0
House6,2018-11-16 01:00:00,0.8334933333333332,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,1e-05,0.5338233333333335,0.07773000000000001,5.999999999999999e-05
House6,2018-11-16 02:00:00,0.7492266666666666,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,6.833333333333329e-05,0.3755166666666664,0.05618999999999998,0.00016833333333333332
House6,2018-11-16 03:00:00,0.8798216666666667,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,4.000000000000001e-05,0.4487883333333333,0.11634833333333333,9.333333333333333e-05
House6,2018-11-16 04:00:00,0.5701816666666666,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.00018666666666666671,0.234085,0.07298166666666668,0.00016499999999999994
House6,2018-11-16 05:00:00,0.5960616666666666,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.00012166666666666668,0.32456166666666675,0.10671999999999997,0.0004000000000000003
House6,2018-11-16 06:00:00,0.5373066666666666,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,9.833333333333336e-05,0.3368516666666665,0.059206666666666685,0.0001650000000000001
House6,2018-11-16 07:00:00,0.7433850000000002,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,1.6666666666666667e-05,0.3904133333333332,0.10265999999999999,0.00011666666666666665
House6,2018-11-16 08:00:00,0.4718166666666666,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,4.999999999999998e-05,0.351835,0.04533166666666668,0.0001216666666666666
House6,2018-11-16 09:00:00,0.7596149999999999,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,3.3333333333333333e-06,0.4099683333333333,0.11651500000000001,0.00019000000000000006
House6,2018-11-16 10:00:00,0.6505833333333332,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.4301616666666666,0.04547166666666666,0.00011833333333333327
House6,2018-11-16 11:00:00,0.7423816666666666,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.4878716666666668,0.10697833333333334,0.00029166666666666664
House6,2018-11-16 12:00:00,0.9113150000000002,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,3.3333333333333333e-06,0.5981599999999999,0.09402333333333332,0.00015833333333333327
House6,2018-11-16 13:00:00,0.5280916666666666,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.3655333333333333,0.04895,6.499999999999995e-05
House6,2018-11-16 14:00:00,0.568226666666667,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,4.499999999999999e-05,0.272235,0.10964000000000003,0.00033500000000000034
House6,2018-11-16 15:00:00,0.5010549999999998,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,7.666666666666667e-05,0.24076999999999998,0.062348333333333325,0.00028666666666666657
House6,2018-11-16 16:00:00,0.5826966666666663,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,7.666666666666667e-05,0.364395,0.08702333333333333,0.00031833333333333345
House6,2018-11-16 17:00:00,0.004200000000000004,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.003200000000000001,0.0004000000000000002,0.0
House6,2018-11-16 18:00:00,0.004200000000000004,2722.51,2,2010,12.0,No,7,3.0,2.0,1.0,1.0,3 phase,4,4,0,0,4,0,4,2,1,8,9,0,0,1,40,1,0.0,0.003200000000000001,0.0004000000000000002,0.0
