House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_DR_kW,Kitchen_kW,UPS_kW
House19,2018-06-03 22:00:00,3.866853333333333,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005949999999999997,0.4939616666666665,0.4695433333333333,0.264475
House19,2018-06-03 23:00:00,4.427146666666666,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00021,0.0013683333333333336,0.3696883333333332,0.2569616666666667
House19,2018-06-04 00:00:00,3.9996,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.00026499999999999994,0.0013383333333333333,0.29897333333333337,0.14009666666666665
House19,2018-06-04 01:00:00,3.6160349999999983,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.000315,0.0010633333333333332,0.2068466666666666,0.14215333333333333
House19,2018-06-04 02:00:00,3.74369,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.000235,0.06392833333333334,0.36534,0.2431500000000001
House19,2018-06-04 03:00:00,4.257961666666667,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0004533333333333334,1.0472833333333331,0.3914766666666665,0.33700500000000005
House19,2018-06-04 04:00:00,3.129363333333333,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0004600000000000002,0.0008300000000000003,0.2732983333333333,0.113125
House19,2018-06-04 05:00:00,3.022425,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0004816666666666666,0.000776666666666667,0.3208349999999999,0.10991333333333332
House19,2018-06-04 06:00:00,2.9502150000000014,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005316666666666664,0.0007416666666666668,0.2740233333333333,0.10923499999999998
House19,2018-06-04 07:00:00,3.2926233333333346,2450.25,2,2014,12.0,No,6,3.0,1.0,1.0,1.0,3 phase,7,5,2,0,7,0,5,1,1,3,9,1,0,1,40,1,0.0005749999999999997,0.0008816666666666668,0.2001316666666666,0.11281666666666665
