House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,Kitchen_kW,LR_kW,AC_BR_kW.1
House15,2018-06-03 20:00:00,1.8713083333333336,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.002656666666666667,0.4759149999999999,0.1746366666666666,0.0008549999999999999
House15,2018-06-03 21:00:00,2.199865,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.002935,0.5157466666666666,0.1912566666666667,0.0009366666666666668
House15,2018-06-03 22:00:00,3.961499999999999,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.4658616666666667,0.5403366666666666,0.1195783333333333,0.0014949999999999998
House15,2018-06-03 23:00:00,7.6029516666666614,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,2.0879816666666664,0.5057716666666667,0.190935,0.001843333333333333
House15,2018-06-04 00:00:00,6.67666166666667,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.8533466666666665,0.5291849999999999,0.19717,0.001963333333333333
House15,2018-06-04 01:00:00,1.335578333333329,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.018924999999999977,0.13730166666666696,0.05616999999999985,0.0005083333333333334
House15,2018-06-04 02:00:00,5.281623333333333,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.9299166666666668,0.7032866666666667,0.1871216666666667,0.0013983333333333324
House15,2018-06-04 03:00:00,5.965796666666664,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.4714083333333337,0.5176133333333333,0.07320666666666678,0.002048333333333333
House15,2018-06-04 04:00:00,4.812098333333334,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.6522150000000002,0.4863233333333332,0.0008450000000000004,0.0016450000000000002
House15,2018-06-04 05:00:00,0.452778333333332,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.12199166666666662,0.10098333333333323,0.00018666666666666666,0.00019666666666666669
House15,2018-06-04 06:00:00,3.185305,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,1.2017766666666665,0.4819700000000001,0.001373333333333334,0.0011016666666666664
House15,2018-06-04 07:00:00,2.6654950000000004,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.9383516666666664,0.4752916666666666,0.0012266666666666678,0.0009599999999999999
House15,2018-06-04 08:00:00,2.170163333333333,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.7730199999999999,0.3178250000000001,0.0011133333333333334,0.0008416666666666665
House15,2018-06-04 09:00:00,1.944021666666668,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.9204483333333332,0.32005166666666685,0.055225,0.0010316666666666664
House15,2018-06-04 10:00:00,0.7042366666666662,5445.01,2,2012,10.0,No,12,6.0,3.0,1.0,2.0,3 phase,11,4,5,2,11,0,7,2,1,0,16,1,0,1,146,2,0.2678283333333332,0.1352766666666668,0.00033999999999999997,0.0002833333333333333
