House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,UPS_kW,Refrigerator_kW
House5,2018-06-03 02:00:00,1.2530749999999995,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.035941666666666656,0.4156716666666667,0.35089166666666666
House5,2018-06-03 03:00:00,1.278545,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.2032983333333334,0.2726416666666667,0.1832716666666667
House5,2018-06-03 04:00:00,2.7055866666666657,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.1201716666666666,0.17890000000000006,0.3822550000000001
House5,2018-06-03 05:00:00,2.471773333333333,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.085835,0.13498166666666664,0.19874999999999995
House5,2018-06-03 06:00:00,2.3427233333333333,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.0761383333333334,0.15223999999999996,0.28696000000000005
House5,2018-06-03 07:00:00,2.0370033333333337,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.0283216666666666,0.117975,0.2297449999999999
House5,2018-06-03 08:00:00,2.2210266666666683,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.0486783333333332,0.1172,0.2257216666666667
House5,2018-06-03 09:00:00,2.2370650000000003,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.0815283333333334,0.16939666666666664,0.2292383333333333
House5,2018-06-03 10:00:00,2.117505,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.0083333333333335,0.2413033333333334,0.21511000000000005
House5,2018-06-03 11:00:00,0.8055483333333331,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.3031316666666667,0.30552500000000005,0.191425
House5,2018-06-03 12:00:00,0.7925550000000001,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.0016900000000000005,0.18337166666666666,0.2515683333333333
House5,2018-06-03 13:00:00,0.7676399999999999,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.001631666666666667,0.18339000000000005,0.18137
House5,2018-06-03 14:00:00,0.6674316666666665,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.001633333333333334,0.2121766666666668,0.26607166666666665
House5,2018-06-03 15:00:00,0.8572083333333329,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.001456666666666667,0.2978816666666667,0.2049616666666667
House5,2018-06-03 16:00:00,0.7347283333333334,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.0016133333333333342,0.19211333333333333,0.2800083333333335
House5,2018-06-03 17:00:00,0.8173399999999998,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.0015750000000000009,0.2434783333333333,0.34527833333333324
House5,2018-06-03 18:00:00,0.9748133333333332,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.013511666666666668,0.4008633333333334,0.24836166666666665
House5,2018-06-03 19:00:00,1.2709566666666672,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.016938333333333326,0.4943866666666666,0.37850500000000004
House5,2018-06-03 20:00:00,1.5759033333333332,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.554031666666667,0.4319916666666666,0.27390833333333336
House5,2018-06-03 21:00:00,0.9439266666666666,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.016816666666666667,0.3911050000000001,0.277295
House5,2018-06-03 22:00:00,0.9302049999999998,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.016434999999999998,0.2878516666666667,0.35993499999999984
House5,2018-06-03 23:00:00,1.0760116666666664,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.022111666666666648,0.37617,0.3337616666666666
House5,2018-06-04 00:00:00,1.1070600000000002,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.021845,0.2412516666666667,0.2859733333333333
